String ID,English text,en(English),fr,es,ko(Korean),ar(Arabic),pt(Portuguese),sv-rSE(Swedish),fi-rFI(French),bg-rBG(Bulgarian),es-rES(Spanish),pl-rPL(Polish),zh-rCN(Chinese Simplified),el-rGR(Greek),de-rDE(German),th-rTH(Thai),ru-rRU(Russian),hr-rHR(Croatian),nn-rNO(Norwegian),sr-rCS,fr-rCA(French),sl-rSI(Slovenian),es-rMX,hu-rHU(Hungarian),da-rDK(Danish),uk-rUA(Ukrainian),it-rIT(Italian),tr-rTR(Turkey),ro-rRO(Romanian),en-rGB(English),en-rAU(English),cs-rCZ(Czech),nl-rNL(Dutch),sk-rSK(Slovencina),es-rUS(English),fr-rFR(French)
Calculating,"""Calculating...""","""Calculating...""",,,,,"""Calculando ...""","""Beräknande...""",,,"""Calculador...""","""Obliczenie...""",,"""Υπολογιστικός...""","""Berechnung...""","""กำลังคำนวณ...""",,,"""Beregner...""",,,,,,"""Beregner...""",,"""Calcolo...""",,,,,,"""Berekenen...""",,,"""Calculateur..."""
CancelTrip,Cancel Trip,Cancel Trip,Annuler le trajet,,경로 안내 취소,إلغاء الرحلة,Cancelar viagem,Avbryt Navigering,Peruuta matka,Отмяна на пътуване,Cancelar viaje,Anuluj podróż,取消行程,Ακύρωση ταξιδιού,Fahrt abbrechen,ยกเลิกการเดินทาง,Отменить маршрут,Otkaži putovanje,Avbryt turen,Otkaži put,,Prekliči pot,Cancelar Ruta,Útvonal törlése,Annuller rute,Скасувати поїздку,Annulla viaggio,Yolculuğu İptal Et,Anulare călătorie,,,Zrušit cestu,Reis annuleren,Zrušiť cestu,Cancelar Ruta,
CommonStreetNumber,#,#,#,,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,,#,#,#,#,#,#,#,#,#,,#,#,#,,
CommonUndoButtonText,Undo,Undo,Annuler,Deshacer,실행 취소,تراجع,Anular,Ångra,Kumoa,Отмяна,,Cofnij,撤销,Αναίρεση,Rückgängig machen,ยกเลิก,Отменить,Poništi,Angre,Opozovi,,Razveljavi,,Visszavonás,Fortryd,Скасувати,Annulla,Geri Al,Anulare,,,Zpět,Ongedaan maken,Späť,,
EnterBetweenParkingInformation,Enter %1$s - %2$s,Enter %1$s - %2$s,,,%1$s - %2$s 사이 입차,ادخل ما بين الساعة %1$s والساعة %2$s,Entrada %1$s - %2$s,Kör ut %1$s–%2$s,Aja sisään klo %1$s - %2$s,Влезте в периода %1$s-%2$s,Entrar %1$s - %2$s,Wjazd %1$s–%2$s,%1$s - %2$s驶入,Είσοδος %1$s - %2$s,Zwischen %1$s und %2$s einfahren.,เข้าระหว่าง %1$s - %2$s,Въезд с %1$s до %2$s,Uđite u razdoblju između %1$s i %2$s,Kjør inn mellom %1$s og %2$s,Uđite od %1$s do %2$s.,Entrer entre %1$s et %2$s,Parkirajte med %1$s in %2$s,Ingresar entre %1$s y %2$s,Behajtás: %1$s - %2$s,Kør ind fra %1$s til %2$s,В’їзд: %1$s–%2$s,Ingresso %1$s - %2$s,Giriş %1$s - %2$s,Intrare %1$s - %2$s,,,Příjezd od %1$s do %2$s,Inrijden %1$s - %2$s,Príchod %1$s – %2$s,Ingresar entre %1$s y %2$s,Arriver entre %1$s et %2$s
ExitBetweenParkingInformation,Exit %1$s - %2$s,Exit %1$s - %2$s,,,%1$s - %2$s 사이 출차,اخرج ما بين الساعة %1$s والساعة %2$s,Saída %1$s - %2$s,Avsluta %1$s–%2$s,Poistu klo %1$s - %2$s,Излезте в периода %1$s-%2$s,Salir %1$s - %2$s,Wyjazd %1$s–%2$s,%1$s - %2$s驶离,Έξοδος %1$s - %2$s,Zwischen %1$s und %2$s ausfahren.,ออกระหว่าง %1$s - %2$s,Выезд с %1$s до %2$s,Izađite u razdoblju između %1$s i %2$s,Kjør ut mellom %1$s og %2$s,Izađite od %1$s do %2$s.,Sortir entre %1$s et %2$s,Zapustite med %1$s in %2$s,Salir entre %1$s y %2$s,Kihajtás: %1$s - %2$s,Kør ud fra %1$s til %2$s,Виїзд: %1$s–%2$s,Uscita %1$s - %2$s,Çıkış %1$s - %2$s,Ieșire %1$s - %2$s,,,Odjezd od %1$s do %2$s,Uitrijden %1$s - %2$s,Odchod %1$s – %2$s,Salir entre %1$s y %2$s,Partir entre %1$s et %2$s
LastUpdate,Last Update:,Last Update:,Dernière mise à jour :,Última actualización:,최근 업데이트:,آخر تحديث:,Última atualização:,Senaste uppdatering:,Viimeisin päivitys:,Последна актуализация:,,Ostatnia aktualizacja:,上一次更新：,Τελευταία ενημέρωση:,Letztes Update:,การอัพเดตครั้งล่าสุด:,Дата последнего обновления:,Posljednje ažuriranje:,Siste oppdatering:,Poslednje ažuriranje:,,Zadnja posodobitev:,,Legutóbbi frissítés:,Sidste opdatering:,Останнє оновлення:,Ultimo aggiornamento:,Son Güncelleme:,Ultima actualizare:,,,Poslední aktualizace:,Laatst bijgewerkt:,Posledná aktualizácia:,,
MRTStationItemLabel,Subway/Light Rail Stations,Subway/Light Rail Stations,,,지하철역/경전철역,محطات المترو/السكك الحديدية الخفيفة,Estações de metro,Tunnelbana/pendeltåg,Metro-/raitiovaunuasemat,Метро/градски ЖП станции,Estaciones de metro/ferrocarril,Stacje metra/kolei miejskiej,地铁/轻轨站,Σταθμοί μετρό/σιδηροδρόμου,U-Bahn-/S-Bahn-Stationen,สถานีรถไฟใต้ดิน/รถไฟฟ้า,Станции метро/мини-метро,Postaje podzemne/lake gradske željeznice,Stoppesteder undergrunn/trikk,Stanice metroa/tramvaja,Stations de métro/trains légers,Podzemne postaje/hitri tramvaji,Estaciones de Metro/Tren Ligero,Metró/Keskeny nyomtávú vasúti megálló,Metro-/Letbanestationer,Станції метро/електричок,Stazioni tram/metropolitana,Metro/Hafif Raylı Sistemler,Stații de metrou/tramvai,,,Stanice metra/nadzemní dráhy,Metro-/lightrail-/tramstations,Stanice klasického alebo ľahkého metra,Estaciones de Metro/Tren Ligero,Métro/Tram-train
MinimumParkingPriceInformation,From,From,,,,,De,Från,,,Desde,Od,,Από,Von,จาก,,,Fra,,,,,,Fra,,Da,,,,,,Van,,,À partir de
RecentDestinationsClearedMessage,Recent Destinations Cleared,Recent Destinations Cleared,,,최근 목적지 삭제됨,تم مسح الوجهات الأخيرة,Destinos recentes apagados,Senaste destinationerna raderade,Viimeisimmät määränpäät tyhjennetty,Скорошните дестинации са изчистени.,Destinos recientes borrados,Usunięto ostatnie cele podróży,目的地记录已清除,Οι πρόσφατοι προορισμοί διαγράφηκαν,Letzte Ziele gelöscht,ล้างข้อมูลจุดหมายปลายทางล่าสุดแล้ว,Список последних пунктов назначения очищен,Posljednja odredišta su izbrisana,Siste destinasjoner er slettet,Nedavna odredišta obrisana,Destinations récentes effacées,Nedavni cilji so počiščeni.,Destinos Recientes Borrados,A legutóbbi úti célok törlődtek,Seneste destinationer er slettet,Нещодавні пункти призначення очищено,Destinazioni recenti cancellate,Son Varış Yerleri Silindi,Destinații recente șterse,,,Nedávné cíle smazány,Recente bestemmingen gewist,Nedávne ciele boli vymazané,Destinos Recientes eliminados.,Destinations récentes effacées
