name,value_source,value_dest
Calculating,Calculating...,"""Calculating..."""
TripAssistMessage,Smart Destination learns and predicts your favorite stops to help you get there faster without any typing. Manage Smart Destination in Options > Settings > Predictive Navigation.,Smart Destination learns and predicts your favorite stops to help you get there faster without any typing.\n\nManage Smart Destination in Options > Settings > Predictive Navigation.
alertNoNetworkForFilterChargingNetworks,No network connection. Charging networks filter is not applied.,No network connection.\nCharging networks filter is not applied.
buttonDoNotSaveRecordedRoute,Don't Save,Don\'t Save
buttonExitNav,@ref/0x7f0f04f7,Exit Nav
dialogRecordedSince,Recorded since: %1$s at %2$s,Recorded since:\n%1$s at %2$s
downloadSizeVarDataRatesApply,The download size is approximately %1$sMB. Data rates and/or overage fees may apply.,The download size is approximately %1$sMB.\nData rates and/or overage fees may apply.
emergencyVarsRouteViaVar,%1$s in %2$s on %3$s (from %4$s to %5$s) Reroute via %6$s.,%1$s in %2$s on %3$s (from %4$s to %5$s)\nReroute via %6$s.
emergencyViaVarNoDirection,%1$s in %2$s on %3$s. Reroute via %4$s,%1$s in %2$s on %3$s.\nReroute via %4$s
ftuePredictiveNavIntro,Predictive Navigation learns your preferences by remembering where you've been. It uses your location and navigation history to personalize routes and results. Learn more in the Privacy Statement.,Predictive Navigation learns your preferences by remembering where you\'ve been. It uses your location and navigation history to personalize routes and results. Learn more in the Privacy Statement.
ftueSuperCruise,The world’s first true hands-free driver assistance feature for the freeway. Take advantage of Super Cruise when you see stretches of purple highway.,The world’s first true hands-free driver assistance feature for the freeway.\n\nTake advantage of Super Cruise when you see stretches of purple highway.
incrPrepareFail,Could not update map. Please refer to the owner's portal website for more information. You can also contact customer support or your local dealer for help.,Could not update map. Please refer to the owner\'s portal website for more information. You can also contact customer support or your local dealer for help.
listItemIndexFormat,%s.,%s. 
navConnectPlanExpire,Your %1$s Connected Navigation Plan has expired. Please renew your plan through %1$s to update your map.,Your  %1$s Connected Navigation Plan has expired.\nPlease renew your plan through %1$s to update your map.
navConnectServiceWillExpireOnVarRenew,Your Connected Navigation Plan will expire within %1$s days. Renew subscription?,Your Connected Navigation Plan will expire within %1$s days.\nRenew subscription?
navFasterBubble,%1$s min Faster,%1$s min\nFaster
navHiddenDestinationNotice,This location will not be shown again as a Smart Destination. You can't undo this action.,This location will not be shown again as a Smart Destination. You can\'t undo this action.
navSlowerBubble,%1$s min Slower,%1$s min\nSlower
navSwipeMinimizeCard,Swipe down to minimize card,Swipe down to minimize  card
