Address,String ID,en,en-US,arb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7f0f0000,CLUSTER_APP_TYPE,nav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7f0f0001,CLUSTER_HUD_NAME,CLUSTER_HUD_NAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7f0f0002,CLUSTER_IPC_NAME,CLUSTER_IPC_NAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7f0f0003,CLUSTER_SUPPORTED_DISPLAY,CLUSTER_SUPPORTED_DISPLAY_NAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7f0f0004,Calculating,Calculating...,Calculating...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,« Calcul... »,,,,,,,,,,,Calculando...,,,,,,A calcular...,,,,,,,,,,,,,,,,,,,,Berechnung...,Beräknar...,,กำลังคำนวณ...,,,Beregner...,,,Berekenen...,Obliczanie...,,,Beregner...,,,«Υπολογισμός...»,,,,,Calcolo...,,,,,,,
0x7f0f0005,CancelTrip,Cancel Trip,Cancel Trip,إلغاء الرحلة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로 안내 취소,,,,Annuler le trajet,,,,,,,,,,,Cancelar viaje,,,,,,Cancelar viagem,,,,,,,,,,,,,,,,,Скасувати поїздку,,,Fahrt abbrechen,Avbryt Navigering,Отмяна на пътуване,ยกเลิกการเดินทาง,Peruuta matka,Prekliči pot,Annuller rute,,Zrušiť cestu,Reis annuleren,Anuluj podróż,取消行程,,Avbryt turen,Anulare călătorie,,Ακύρωση ταξιδιού,Otkaži putovanje,Yolculuğu İptal Et,Otkaži put,Cancelar Ruta,Annulla viaggio,,,Útvonal törlése,Отменить маршрут,,Cancelar Ruta,Zrušit cestu
0x7f0f0006,CommonStreetNumber,#,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,,,,#,,,,,,,,,,,#,,,,,,#,,,,,,,,,,,,,,,,,#,,,#,#,#,#,#,#,#,,#,#,#,#,,#,#,,#,#,#,#,,#,,,#,#,,#,#
0x7f0f0007,CommonUndoButtonText,Undo,Undo,تراجع,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,실행 취소,,,,Annuler,,,,,,,,,,,Deshacer,,,,,,Anular,,,,,,,,,,,,,,,,,Скасувати,,,Rückgängig machen,Ångra,Отмяна,ยกเลิก,Kumoa,Razveljavi,Fortryd,,Späť,Ongedaan maken,Cofnij,撤销,,Angre,Anulare,,Αναίρεση,Poništi,Geri Al,Opozovi,,Annulla,,,Visszavonás,Отменить,,,Zpět
0x7f0f0008,DRTurnOffAndWillQuit,"DR logic log turned OFF, app will quit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7f0f0009,DRTurnOnAndWillQuit,"DR logic log turned ON, app will quit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7f0f000a,Downloading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7f0f000b,EnterBetweenParkingInformation,Enter %1$s - %2$s,Enter %1$s - %2$s,ادخل ما بين الساعة %1$s والساعة %2$s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%1$s - %2$s 사이 입차,,,,Arriver entre %1$s et %2$s,,,,,,,,,,,Entrar %1$s - %2$s,,,,,,Entrada %1$s - %2$s,,,,,,,,,,,,,,,,Entrer entre %1$s et %2$s,В’їзд: %1$s–%2$s,,,Zwischen %1$s und %2$s einfahren.,Kör ut %1$s–%2$s,Влезте в периода %1$s-%2$s,เข้าระหว่าง %1$s - %2$s,Aja sisään klo %1$s - %2$s,Parkirajte med %1$s in %2$s,Kør ind fra %1$s til %2$s,,Príchod %1$s – %2$s,Inrijden %1$s - %2$s,Wjazd %1$s–%2$s,%1$s - %2$s驶入,,Kjør inn mellom %1$s og %2$s,Intrare %1$s - %2$s,,Είσοδος %1$s - %2$s,Uđite u razdoblju između %1$s i %2$s,Giriş %1$s - %2$s,Uđite od %1$s do %2$s.,Ingresar entre %1$s y %2$s,Ingresso %1$s - %2$s,,,Behajtás: %1$s - %2$s,Въезд с %1$s до %2$s,,Ingresar entre %1$s y %2$s,Příjezd od %1$s do %2$s
0x7f0f000c,ExitBetweenParkingInformation,Exit %1$s - %2$s,Exit %1$s - %2$s,اخرج ما بين الساعة %1$s والساعة %2$s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%1$s - %2$s 사이 출차,,,,Partir entre %1$s et %2$s,,,,,,,,,,,Salir %1$s - %2$s,,,,,,Saída %1$s - %2$s,,,,,,,,,,,,,,,,Sortir entre %1$s et %2$s,Виїзд: %1$s–%2$s,,,Zwischen %1$s und %2$s ausfahren.,Avsluta %1$s–%2$s,Излезте в периода %1$s-%2$s,ออกระหว่าง %1$s - %2$s,Poistu klo %1$s - %2$s,Zapustite med %1$s in %2$s,Kør ud fra %1$s til %2$s,,Odchod %1$s – %2$s,Uitrijden %1$s - %2$s,Wyjazd %1$s–%2$s,%1$s - %2$s驶离,,Kjør ut mellom %1$s og %2$s,Ieșire %1$s - %2$s,,Έξοδος %1$s - %2$s,Izađite u razdoblju između %1$s i %2$s,Çıkış %1$s - %2$s,Izađite od %1$s do %2$s.,Salir entre %1$s y %2$s,Uscita %1$s - %2$s,,,Kihajtás: %1$s - %2$s,Выезд с %1$s до %2$s,,Salir entre %1$s y %2$s,Odjezd od %1$s do %2$s
0x7f0f000d,Installing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7f0f000e,KeyTimesOfNavLaunched,TimesOfNavLaunchedAfterTaCAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
